"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "107", "RW_Semaphore.java:70", "Variable Write", " context=Writer:5#Writer:5, d=Database:1"
"main", "108", "RW_Semaphore.java:70", "Variable Write", " context=Writer:5#Writer:5, x=10000"
"main", "109", "RW_Semaphore.java:70", "Line Step", " file=RW_Semaphore.java, line=70"
"main", "110", "RW_Semaphore.java:71", "Line Step", " file=RW_Semaphore.java, line=71"
"main", "111", "RW_Semaphore.java:71", "Field Write", " context=Writer:5, d=Database:1"
"main", "112", "RW_Semaphore.java:72", "Line Step", " file=RW_Semaphore.java, line=72"
"main", "113", "RW_Semaphore.java:72", "Field Write", " context=Writer:5, x=10000"
"main", "114", "RW_Semaphore.java:73", "Line Step", " file=RW_Semaphore.java, line=73"
"main", "115", "RW_Semaphore.java:73", "Method Exit", " returner=Writer:5#Writer:5, value=<void>"
"main", "116", "RW_Semaphore.java:17", "Method Returned", " "
"main", "117", "RW_Semaphore.java:17", "Line Step", " file=RW_Semaphore.java, line=17"
"main", "118", "RW_Semaphore.java:17", "Variable Write", " context=RW_Semaphore#main:1, w5=Writer:5"
"main", "119", "RW_Semaphore.java:19", "Line Step", " file=RW_Semaphore.java, line=19"
"main", "120", "SYSTEM", "Type Load", " class=Reader"
"main", "121", "RW_Semaphore.java:19", "New Object", " object=Reader:1"
"main", "122", "RW_Semaphore.java:19", "Method Call", " caller=RW_Semaphore#main:1, target=Reader:1#Reader:1"
"main", "123", "RW_Semaphore.java:50", "Method Entered", " "
"main", "124", "RW_Semaphore.java:50", "Variable Write", " context=Reader:1#Reader:1, d=Database:1"
"main", "125", "RW_Semaphore.java:50", "Line Step", " file=RW_Semaphore.java, line=50"
"main", "126", "RW_Semaphore.java:51", "Line Step", " file=RW_Semaphore.java, line=51"
"main", "127", "RW_Semaphore.java:51", "Field Write", " context=Reader:1, d=Database:1"
"main", "128", "RW_Semaphore.java:52", "Line Step", " file=RW_Semaphore.java, line=52"
"main", "129", "RW_Semaphore.java:52", "Method Exit", " returner=Reader:1#Reader:1, value=<void>"
"main", "130", "RW_Semaphore.java:19", "Method Returned", " "
"main", "131", "RW_Semaphore.java:19", "Line Step", " file=RW_Semaphore.java, line=19"
"main", "132", "RW_Semaphore.java:19", "Variable Write", " context=RW_Semaphore#main:1, r1=Reader:1"
"main", "133", "RW_Semaphore.java:20", "Line Step", " file=RW_Semaphore.java, line=20"
"main", "134", "RW_Semaphore.java:20", "New Object", " object=Reader:2"
"main", "135", "RW_Semaphore.java:20", "Method Call", " caller=RW_Semaphore#main:1, target=Reader:2#Reader:2"
"main", "136", "RW_Semaphore.java:50", "Method Entered", " "
"main", "137", "RW_Semaphore.java:50", "Variable Write", " context=Reader:2#Reader:2, d=Database:1"
"main", "138", "RW_Semaphore.java:50", "Line Step", " file=RW_Semaphore.java, line=50"
"main", "139", "RW_Semaphore.java:51", "Line Step", " file=RW_Semaphore.java, line=51"
"main", "140", "RW_Semaphore.java:51", "Field Write", " context=Reader:2, d=Database:1"
"main", "141", "RW_Semaphore.java:52", "Line Step", " file=RW_Semaphore.java, line=52"
"main", "142", "RW_Semaphore.java:52", "Method Exit", " returner=Reader:2#Reader:2, value=<void>"
"main", "143", "RW_Semaphore.java:20", "Method Returned", " "
"main", "144", "RW_Semaphore.java:20", "Line Step", " file=RW_Semaphore.java, line=20"
"main", "145", "RW_Semaphore.java:20", "Variable Write", " context=RW_Semaphore#main:1, r2=Reader:2"
"main", "146", "RW_Semaphore.java:21", "Line Step", " file=RW_Semaphore.java, line=21"
"main", "147", "RW_Semaphore.java:21", "New Object", " object=Reader:3"
"main", "148", "RW_Semaphore.java:21", "Method Call", " caller=RW_Semaphore#main:1, target=Reader:3#Reader:3"
"main", "149", "RW_Semaphore.java:50", "Method Entered", " "
"main", "150", "RW_Semaphore.java:50", "Variable Write", " context=Reader:3#Reader:3, d=Database:1"
"main", "151", "RW_Semaphore.java:50", "Line Step", " file=RW_Semaphore.java, line=50"
"main", "152", "RW_Semaphore.java:51", "Line Step", " file=RW_Semaphore.java, line=51"
"main", "153", "RW_Semaphore.java:51", "Field Write", " context=Reader:3, d=Database:1"
"main", "154", "RW_Semaphore.java:52", "Line Step", " file=RW_Semaphore.java, line=52"
"main", "155", "RW_Semaphore.java:52", "Method Exit", " returner=Reader:3#Reader:3, value=<void>"
"main", "156", "RW_Semaphore.java:21", "Method Returned", " "
"main", "157", "RW_Semaphore.java:21", "Line Step", " file=RW_Semaphore.java, line=21"
"main", "158", "RW_Semaphore.java:21", "Variable Write", " context=RW_Semaphore#main:1, r3=Reader:3"
"main", "159", "RW_Semaphore.java:22", "Line Step", " file=RW_Semaphore.java, line=22"
"main", "160", "RW_Semaphore.java:22", "New Object", " object=Reader:4"
"main", "161", "RW_Semaphore.java:22", "Method Call", " caller=RW_Semaphore#main:1, target=Reader:4#Reader:4"
"main", "162", "RW_Semaphore.java:50", "Method Entered", " "
"main", "163", "RW_Semaphore.java:50", "Variable Write", " context=Reader:4#Reader:4, d=Database:1"
"main", "164", "RW_Semaphore.java:50", "Line Step", " file=RW_Semaphore.java, line=50"
"main", "165", "RW_Semaphore.java:51", "Line Step", " file=RW_Semaphore.java, line=51"
"main", "166", "RW_Semaphore.java:51", "Field Write", " context=Reader:4, d=Database:1"
"main", "167", "RW_Semaphore.java:52", "Line Step", " file=RW_Semaphore.java, line=52"
"main", "168", "RW_Semaphore.java:52", "Method Exit", " returner=Reader:4#Reader:4, value=<void>"
"main", "169", "RW_Semaphore.java:22", "Method Returned", " "
"main", "170", "RW_Semaphore.java:22", "Line Step", " file=RW_Semaphore.java, line=22"
"main", "171", "RW_Semaphore.java:22", "Variable Write", " context=RW_Semaphore#main:1, r4=Reader:4"
"main", "172", "RW_Semaphore.java:23", "Line Step", " file=RW_Semaphore.java, line=23"
"main", "173", "RW_Semaphore.java:23", "New Object", " object=Reader:5"
"main", "174", "RW_Semaphore.java:23", "Method Call", " caller=RW_Semaphore#main:1, target=Reader:5#Reader:5"
"main", "175", "RW_Semaphore.java:50", "Method Entered", " "
"main", "176", "RW_Semaphore.java:50", "Variable Write", " context=Reader:5#Reader:5, d=Database:1"
"main", "177", "RW_Semaphore.java:50", "Line Step", " file=RW_Semaphore.java, line=50"
"main", "178", "RW_Semaphore.java:51", "Line Step", " file=RW_Semaphore.java, line=51"
"main", "179", "RW_Semaphore.java:51", "Field Write", " context=Reader:5, d=Database:1"
"main", "180", "RW_Semaphore.java:52", "Line Step", " file=RW_Semaphore.java, line=52"
"main", "181", "RW_Semaphore.java:52", "Method Exit", " returner=Reader:5#Reader:5, value=<void>"
"main", "182", "RW_Semaphore.java:23", "Method Returned", " "
"main", "183", "RW_Semaphore.java:23", "Line Step", " file=RW_Semaphore.java, line=23"
"main", "184", "RW_Semaphore.java:23", "Variable Write", " context=RW_Semaphore#main:1, r5=Reader:5"
"main", "185", "RW_Semaphore.java:25", "Line Step", " file=RW_Semaphore.java, line=25"
"main", "186", "RW_Semaphore.java:26", "Line Step", " file=RW_Semaphore.java, line=26"
"main", "187", "RW_Semaphore.java:27", "Line Step", " file=RW_Semaphore.java, line=27"
"Thread-0", "188", "SYSTEM", "Thread Start", " Thread-0 (43)"
"Thread-0", "189", "RW_Semaphore.java:76", "Method Call", " caller=SYSTEM, target=Writer:1#run:1"
"Thread-0", "190", "RW_Semaphore.java:75", "Method Entered", " "
"main", "191", "RW_Semaphore.java:28", "Line Step", " file=RW_Semaphore.java, line=28"
"Thread-5", "192", "SYSTEM", "Thread Start", " Thread-5 (50)"
"Thread-5", "193", "RW_Semaphore.java:56", "Method Call", " caller=SYSTEM, target=Reader:1#run:1"
"Thread-5", "194", "RW_Semaphore.java:54", "Method Entered", " "
"Thread-0", "195", "RW_Semaphore.java:75", "Variable Write", " context=Writer:1#run:1, i=0"
"Thread-0", "196", "RW_Semaphore.java:77", "Line Step", " file=RW_Semaphore.java, line=77"
"main", "197", "RW_Semaphore.java:29", "Line Step", " file=RW_Semaphore.java, line=29"
"Thread-6", "198", "SYSTEM", "Thread Start", " Thread-6 (51)"
"Thread-6", "199", "RW_Semaphore.java:56", "Method Call", " caller=SYSTEM, target=Reader:2#run:2"
"Thread-6", "200", "RW_Semaphore.java:54", "Method Entered", " "
"Thread-5", "201", "RW_Semaphore.java:54", "Variable Write", " context=Reader:1#run:1, i=0"
"Thread-5", "202", "RW_Semaphore.java:57", "Line Step", " file=RW_Semaphore.java, line=57"
"Thread-0", "203", "RW_Semaphore.java:77", "Field Read", " context=Writer:1, d"
"main", "204", "RW_Semaphore.java:30", "Line Step", " file=RW_Semaphore.java, line=30"
"Thread-7", "205", "SYSTEM", "Thread Start", " Thread-7 (52)"
"Thread-7", "206", "RW_Semaphore.java:56", "Method Call", " caller=SYSTEM, target=Reader:3#run:3"
"Thread-7", "207", "RW_Semaphore.java:54", "Method Entered", " "
"Thread-6", "208", "RW_Semaphore.java:54", "Variable Write", " context=Reader:2#run:2, i=0"
"Thread-6", "209", "RW_Semaphore.java:57", "Line Step", " file=RW_Semaphore.java, line=57"
"Thread-5", "210", "RW_Semaphore.java:57", "Field Read", " context=Reader:1, d"
"Thread-0", "211", "RW_Semaphore.java:77", "Method Call", " caller=Writer:1#run:1, target=Database:1#request_write:1"
"Thread-0", "212", "RW_Semaphore.java:140", "Method Entered", " "
"Thread-0", "213", "RW_Semaphore.java:149", "Line Step", " file=RW_Semaphore.java, line=149"
"main", "214", "RW_Semaphore.java:31", "Line Step", " file=RW_Semaphore.java, line=31"
"Thread-1", "215", "SYSTEM", "Thread Start", " Thread-1 (44)"
"Thread-1", "216", "RW_Semaphore.java:76", "Method Call", " caller=SYSTEM, target=Writer:2#run:2"
"Thread-1", "217", "RW_Semaphore.java:75", "Method Entered", " "
"Thread-7", "218", "RW_Semaphore.java:54", "Variable Write", " context=Reader:3#run:3, i=0"
"Thread-7", "219", "RW_Semaphore.java:57", "Line Step", " file=RW_Semaphore.java, line=57"
"Thread-6", "220", "RW_Semaphore.java:57", "Field Read", " context=Reader:2, d"
"Thread-5", "221", "RW_Semaphore.java:57", "Method Call", " caller=Reader:1#run:1, target=Database:1#request_read:1"
"Thread-5", "222", "RW_Semaphore.java:99", "Method Entered", " "
"Thread-5", "223", "RW_Semaphore.java:101", "Line Step", " file=RW_Semaphore.java, line=101"
"Thread-0", "224", "RW_Semaphore.java:149", "Field Read", " context=Database:1, s"
"main", "225", "RW_Semaphore.java:32", "Line Step", " file=RW_Semaphore.java, line=32"
"Thread-2", "226", "SYSTEM", "Thread Start", " Thread-2 (45)"
"Thread-2", "227", "RW_Semaphore.java:76", "Method Call", " caller=SYSTEM, target=Writer:3#run:3"
"Thread-2", "228", "RW_Semaphore.java:75", "Method Entered", " "
"Thread-1", "229", "RW_Semaphore.java:75", "Variable Write", " context=Writer:2#run:2, i=0"
"Thread-1", "230", "RW_Semaphore.java:77", "Line Step", " file=RW_Semaphore.java, line=77"
"Thread-7", "231", "RW_Semaphore.java:57", "Field Read", " context=Reader:3, d"
"Thread-6", "232", "RW_Semaphore.java:57", "Method Call", " caller=Reader:2#run:2, target=Database:1#request_read:2"
"Thread-6", "233", "RW_Semaphore.java:99", "Method Entered", " "
"Thread-6", "234", "RW_Semaphore.java:101", "Line Step", " file=RW_Semaphore.java, line=101"
"Thread-5", "235", "RW_Semaphore.java:101", "Field Read", " context=Database:1, s"
"Thread-0", "236", "RW_Semaphore.java:150", "Line Step", " file=RW_Semaphore.java, line=150"
"main", "237", "RW_Semaphore.java:33", "Line Step", " file=RW_Semaphore.java, line=33"
"Thread-3", "238", "SYSTEM", "Thread Start", " Thread-3 (46)"
"Thread-3", "239", "RW_Semaphore.java:76", "Method Call", " caller=SYSTEM, target=Writer:4#run:4"
"Thread-3", "240", "RW_Semaphore.java:75", "Method Entered", " "
"Thread-2", "241", "RW_Semaphore.java:75", "Variable Write", " context=Writer:3#run:3, i=0"
"Thread-2", "242", "RW_Semaphore.java:77", "Line Step", " file=RW_Semaphore.java, line=77"
"Thread-1", "243", "RW_Semaphore.java:77", "Field Read", " context=Writer:2, d"
"Thread-7", "244", "RW_Semaphore.java:57", "Method Call", " caller=Reader:3#run:3, target=Database:1#request_read:3"
"Thread-7", "245", "RW_Semaphore.java:99", "Method Entered", " "
"Thread-7", "246", "RW_Semaphore.java:101", "Line Step", " file=RW_Semaphore.java, line=101"
"Thread-4", "247", "SYSTEM", "Thread Start", " Thread-4 (47)"
"Thread-4", "248", "RW_Semaphore.java:76", "Method Call", " caller=SYSTEM, target=Writer:5#run:5"
"Thread-4", "249", "RW_Semaphore.java:75", "Method Entered", " "
"Thread-6", "250", "RW_Semaphore.java:101", "Field Read", " context=Database:1, s"
"Thread-0", "251", "RW_Semaphore.java:154", "Line Step", " file=RW_Semaphore.java, line=154"
"main", "252", "RW_Semaphore.java:34", "Line Step", " file=RW_Semaphore.java, line=34"
"Thread-8", "253", "SYSTEM", "Thread Start", " Thread-8 (53)"
"Thread-8", "254", "RW_Semaphore.java:56", "Method Call", " caller=SYSTEM, target=Reader:4#run:4"
"Thread-8", "255", "RW_Semaphore.java:54", "Method Entered", " "
"Thread-3", "256", "RW_Semaphore.java:75", "Variable Write", " context=Writer:4#run:4, i=0"
"Thread-3", "257", "RW_Semaphore.java:77", "Line Step", " file=RW_Semaphore.java, line=77"
"Thread-2", "258", "RW_Semaphore.java:77", "Field Read", " context=Writer:3, d"
"Thread-1", "259", "RW_Semaphore.java:77", "Method Call", " caller=Writer:2#run:2, target=Database:1#request_write:2"
"Thread-1", "260", "RW_Semaphore.java:140", "Method Entered", " "
"Thread-1", "261", "RW_Semaphore.java:149", "Line Step", " file=RW_Semaphore.java, line=149"
"Thread-7", "262", "RW_Semaphore.java:101", "Field Read", " context=Database:1, s"
"Thread-4", "263", "RW_Semaphore.java:75", "Variable Write", " context=Writer:5#run:5, i=0"
"Thread-4", "264", "RW_Semaphore.java:77", "Line Step", " file=RW_Semaphore.java, line=77"
"Thread-0", "265", "RW_Semaphore.java:154", "Field Read", " context=Database:1, r"
"main", "266", "RW_Semaphore.java:44", "Line Step", " file=RW_Semaphore.java, line=44"
"Thread-8", "267", "RW_Semaphore.java:54", "Variable Write", " context=Reader:4#run:4, i=0"
"Thread-8", "268", "RW_Semaphore.java:57", "Line Step", " file=RW_Semaphore.java, line=57"
"Thread-9", "269", "SYSTEM", "Thread Start", " Thread-9 (54)"
"Thread-9", "270", "RW_Semaphore.java:56", "Method Call", " caller=SYSTEM, target=Reader:5#run:5"
"Thread-9", "271", "RW_Semaphore.java:54", "Method Entered", " "
"Thread-3", "272", "RW_Semaphore.java:77", "Field Read", " context=Writer:4, d"
"Thread-2", "273", "RW_Semaphore.java:77", "Method Call", " caller=Writer:3#run:3, target=Database:1#request_write:3"
"Thread-2", "274", "RW_Semaphore.java:140", "Method Entered", " "
"Thread-2", "275", "RW_Semaphore.java:149", "Line Step", " file=RW_Semaphore.java, line=149"
"Thread-1", "276", "RW_Semaphore.java:149", "Field Read", " context=Database:1, s"
"Thread-4", "277", "RW_Semaphore.java:77", "Field Read", " context=Writer:5, d"
"Thread-0", "278", "RW_Semaphore.java:154", "Field Read", " context=Database:1, w"
"main", "279", "RW_Semaphore.java:44", "Method Exit", " returner=RW_Semaphore#main:1, value=<void>"
"Thread-8", "280", "RW_Semaphore.java:57", "Field Read", " context=Reader:4, d"
"Thread-9", "281", "RW_Semaphore.java:54", "Variable Write", " context=Reader:5#run:5, i=0"
"Thread-9", "282", "RW_Semaphore.java:57", "Line Step", " file=RW_Semaphore.java, line=57"
"Thread-3", "283", "RW_Semaphore.java:77", "Method Call", " caller=Writer:4#run:4, target=Database:1#request_write:4"
"Thread-3", "284", "RW_Semaphore.java:140", "Method Entered", " "
"Thread-3", "285", "RW_Semaphore.java:149", "Line Step", " file=RW_Semaphore.java, line=149"
"Thread-2", "286", "RW_Semaphore.java:149", "Field Read", " context=Database:1, s"
"Thread-4", "287", "RW_Semaphore.java:77", "Method Call", " caller=Writer:5#run:5, target=Database:1#request_write:5"
"Thread-4", "288", "RW_Semaphore.java:140", "Method Entered", " "
"Thread-4", "289", "RW_Semaphore.java:149", "Line Step", " file=RW_Semaphore.java, line=149"
"Thread-0", "290", "RW_Semaphore.java:165", "Line Step", " file=RW_Semaphore.java, line=165"
"main", "291", "RW_Semaphore.java:11", "Method Returned", " "
"main", "292", "SYSTEM", "Thread End", " "
"Thread-8", "293", "RW_Semaphore.java:57", "Method Call", " caller=Reader:4#run:4, target=Database:1#request_read:4"
"Thread-8", "294", "RW_Semaphore.java:99", "Method Entered", " "
"Thread-8", "295", "RW_Semaphore.java:101", "Line Step", " file=RW_Semaphore.java, line=101"
"Thread-9", "296", "RW_Semaphore.java:57", "Field Read", " context=Reader:5, d"
"Thread-3", "297", "RW_Semaphore.java:149", "Field Read", " context=Database:1, s"
"Thread-4", "298", "RW_Semaphore.java:149", "Field Read", " context=Database:1, s"
"Thread-0", "299", "RW_Semaphore.java:165", "Field Write", " context=Database:1, w=1"
"Thread-8", "300", "RW_Semaphore.java:101", "Field Read", " context=Database:1, s"
"Thread-9", "301", "RW_Semaphore.java:57", "Method Call", " caller=Reader:5#run:5, target=Database:1#request_read:5"
"Thread-9", "302", "RW_Semaphore.java:99", "Method Entered", " "
"Thread-9", "303", "RW_Semaphore.java:101", "Line Step", " file=RW_Semaphore.java, line=101"
"Thread-0", "304", "RW_Semaphore.java:167", "Line Step", " file=RW_Semaphore.java, line=167"
"Thread-9", "305", "RW_Semaphore.java:101", "Field Read", " context=Database:1, s"
"Thread-0", "306", "RW_Semaphore.java:167", "Field Read", " context=Database:1, s"
"Thread-0", "307", "RW_Semaphore.java:168", "Line Step", " file=RW_Semaphore.java, line=168"
"Thread-5", "308", "RW_Semaphore.java:102", "Line Step", " file=RW_Semaphore.java, line=102"
"Thread-0", "309", "RW_Semaphore.java:168", "Method Exit", " returner=Database:1#request_write:1, value=<void>"
"Thread-5", "310", "RW_Semaphore.java:105", "Line Step", " file=RW_Semaphore.java, line=105"
"Thread-0", "311", "RW_Semaphore.java:77", "Method Returned", " "
"Thread-0", "312", "RW_Semaphore.java:78", "Line Step", " file=RW_Semaphore.java, line=78"
"Thread-5", "313", "RW_Semaphore.java:105", "Field Read", " context=Database:1, w"
"Thread-0", "314", "RW_Semaphore.java:78", "Field Read", " context=Writer:1, d"
"Thread-5", "315", "RW_Semaphore.java:109", "Line Step", " file=RW_Semaphore.java, line=109"
"Thread-0", "316", "RW_Semaphore.java:78", "Field Read", " context=Writer:1, x"
"Thread-5", "317", "RW_Semaphore.java:109", "Field Read", " context=Database:1, wr"
